"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2025","299,90","300,50","300,99","299,08","19,99M","0,07%"
"29.12.2025","299,70","302,66","306,20","298,50","56,87M","-0,94%"
"28.12.2025","302,55","302,66","302,83","301,40","4,94M","-0,03%"
"27.12.2025","302,63","302,66","303,18","302,52","1,83M","0,04%"
"26.12.2025","302,51","300,26","302,60","300,02","24,76M","0,75%"
"25.12.2025","300,26","302,31","302,72","300,07","11,66M","-0,59%"
"24.12.2025","302,03","300,66","303,15","299,32","20,63M","0,46%"
"23.12.2025","300,65","298,03","301,68","297,32","18,48M","0,98%"
"22.12.2025","297,72","300,01","300,65","296,84","27,84M","-0,73%"
"21.12.2025","299,92","300,01","300,49","299,64","4,24M","-0,11%"
"20.12.2025","300,26","300,01","300,64","299,92","1,74M","0,13%"
"19.12.2025","299,87","302,30","303,25","298,51","51,75M","-0,69%"
"18.12.2025","301,96","303,38","304,27","300,47","38,43M","-0,51%"
"17.12.2025","303,50","304,79","305,88","301,78","30,32M","-0,42%"
"16.12.2025","304,78","305,07","306,20","303,53","24,82M","-0,10%"
"15.12.2025","305,08","304,32","305,80","303,07","30,96M","0,23%"
"14.12.2025","304,39","304,32","304,94","304,07","3,59M","-0,12%"
"13.12.2025","304,77","304,32","305,25","304,32","2,03M","0,30%"
"12.12.2025","303,86","307,21","307,92","303,61","31,81M","-1,08%"
"11.12.2025","307,19","306,84","309,41","305,20","44,06M","0,15%"
"10.12.2025","306,73","307,00","307,68","306,00","14,60M","0,11%"
"09.12.2025","306,39","305,00","307,70","304,50","22,99M","0,47%"
"08.12.2025","304,95","307,53","308,48","304,20","27,63M","-0,74%"
"05.12.2025","307,22","301,76","307,92","301,66","34,20M","1,81%"
"04.12.2025","301,76","303,25","304,58","301,40","16,62M","-0,36%"
"03.12.2025","302,85","301,10","303,76","299,10","28,90M","-0,30%"
"02.12.2025","303,77","305,60","305,92","301,46","19,88M","-0,47%"
"01.12.2025","305,20","304,32","306,48","303,01","23,74M","-0,01%"
"30.11.2025","305,23","304,32","305,42","303,72","2,95M","0,44%"
"29.11.2025","303,88","304,32","304,78","303,78","967,80K","-0,10%"
"28.11.2025","304,17","300,86","305,26","299,05","24,86M","1,55%"
"27.11.2025","299,53","305,47","306,25","297,33","34,52M","-1,78%"
"26.11.2025","304,96","306,48","306,87","304,00","12,94M","-0,53%"
"25.11.2025","306,60","306,00","307,97","303,00","29,43M","0,24%"
"24.11.2025","305,87","308,67","309,95","303,70","26,54M","-0,27%"
"21.11.2025","306,70","308,50","309,23","304,22","32,34M","-0,39%"
"20.11.2025","307,89","304,76","308,88","301,78","42,35M","1,03%"
"19.11.2025","304,75","300,00","309,90","298,66","60,13M","1,77%"
"18.11.2025","299,44","294,68","302,86","293,33","47,26M","1,62%"
"17.11.2025","294,68","297,44","297,89","293,64","22,56M","-0,78%"
"16.11.2025","297,00","297,44","297,20","296,66","1,19M","-0,06%"
"15.11.2025","297,17","297,44","297,79","296,82","665,26K","-0,09%"
"14.11.2025","297,44","299,09","299,70","295,50","19,66M","-0,55%"
"13.11.2025","299,09","299,00","301,53","297,67","16,85M","0,00%"
"12.11.2025","299,09","301,15","301,89","296,81","24,33M","-0,67%"
"11.11.2025","301,12","300,86","301,87","298,06","21,49M","0,22%"
"10.11.2025","300,46","297,27","302,79","296,70","42,98M","0,84%"
"09.11.2025","297,97","297,27","298,34","297,59","3,80M","0,01%"
"08.11.2025","297,93","297,27","298,44","296,70","3,20M","0,37%"
"07.11.2025","296,84","293,50","298,09","292,52","22,07M","0,87%"
"06.11.2025","294,27","295,73","296,93","292,01","24,03M","-0,48%"
"05.11.2025","295,70","297,64","298,82","293,88","33,74M","-0,79%"
"03.11.2025","298,04","294,19","300,00","294,19","17,97M","1,48%"
"01.11.2025","293,70","292,00","294,42","290,35","12,82M","0,62%"
"31.10.2025","291,89","296,04","297,97","290,00","31,68M","-1,43%"
"30.10.2025","296,12","290,49","298,00","289,13","37,77M","1,93%"
"29.10.2025","290,50","290,45","291,51","288,15","21,78M","0,36%"
"28.10.2025","289,46","283,22","290,70","281,00","36,97M","2,22%"
"27.10.2025","283,17","287,47","287,99","282,46","35,16M","-1,52%"
"24.10.2025","287,55","292,17","294,93","286,30","47,90M","-1,46%"
"23.10.2025","291,80","286,93","291,98","285,21","39,23M","0,61%"
"22.10.2025","290,02","295,52","295,77","286,76","43,16M","-1,84%"
"21.10.2025","295,47","304,10","304,43","290,50","70,65M","-2,81%"
"20.10.2025","304,00","301,30","306,15","301,30","34,81M","0,32%"
"19.10.2025","303,03","301,30","304,85","302,24","10,14M","-0,38%"
"18.10.2025","304,18","301,30","304,73","301,30","6,84M","1,09%"
"17.10.2025","300,91","303,23","305,00","299,76","45,29M","-0,66%"
"16.10.2025","302,91","283,90","304,00","282,40","94,01M","6,76%"
"15.10.2025","283,74","283,93","285,39","282,00","22,41M","0,16%"
"14.10.2025","283,30","285,50","286,99","282,05","22,30M","-0,73%"
"13.10.2025","285,39","284,40","288,75","282,22","37,26M","-0,50%"
"12.10.2025","286,81","284,40","286,81","285,05","4,05M","0,58%"
"11.10.2025","285,16","284,40","285,25","283,45","2,39M","0,01%"
"10.10.2025","285,12","289,90","289,95","284,10","34,17M","-1,47%"
"09.10.2025","289,37","282,80","290,45","278,75","76,18M","2,65%"
"08.10.2025","281,90","293,93","295,00","278,00","75,22M","-4,08%"
"07.10.2025","293,89","290,00","295,87","288,75","37,89M","1,15%"
"06.10.2025","290,56","283,00","291,17","279,14","44,56M","3,04%"
"05.10.2025","281,99","283,00","282,10","279,15","8,08M","0,57%"
"04.10.2025","280,40","283,00","283,00","279,45","5,63M","-0,89%"
"03.10.2025","282,91","285,75","287,32","282,58","17,10M","-0,81%"
"02.10.2025","285,22","286,40","287,15","282,80","28,02M","-0,41%"
"01.10.2025","286,40","288,88","290,39","285,11","22,90M","-0,68%"
"30.09.2025","288,36","287,67","289,88","285,24","29,38M","0,27%"
"29.09.2025","287,57","291,03","295,50","286,50","36,27M","-1,21%"
"28.09.2025","291,08","291,03","291,85","291,00","1,32M","-0,21%"
"27.09.2025","291,69","291,03","292,00","291,03","723,04K","0,12%"
"26.09.2025","291,33","290,20","292,79","288,52","22,64M","0,49%"
"25.09.2025","289,90","293,87","294,89","289,50","21,00M","-1,16%"
"24.09.2025","293,31","291,80","296,64","288,40","47,85M","0,59%"
"23.09.2025","291,60","298,26","300,11","290,39","33,99M","-2,16%"
"22.09.2025","298,05","295,86","299,30","292,16","41,18M","1,09%"
"19.09.2025","294,84","301,60","303,80","294,61","38,92M","-2,27%"
"18.09.2025","301,68","304,80","305,05","300,66","27,54M","-0,93%"
"17.09.2025","304,50","301,80","305,92","299,80","31,42M","0,89%"
"16.09.2025","301,80","303,00","304,20","299,70","26,11M","-0,22%"
"15.09.2025","302,48","303,61","304,75","300,71","24,79M","-0,49%"
"14.09.2025","303,97","303,61","304,24","302,73","2,85M","0,37%"
"13.09.2025","302,84","303,61","303,80","302,66","1,28M","-0,22%"
"12.09.2025","303,50","307,50","308,72","302,53","39,32M","-1,18%"
"11.09.2025","307,11","309,76","310,77","305,80","29,44M","-0,86%"
"10.09.2025","309,76","313,65","313,65","309,00","19,29M","-1,05%"
"09.09.2025","313,06","313,00","314,25","311,62","17,12M","0,07%"
"08.09.2025","312,83","310,50","313,26","310,10","18,35M","0,69%"
"07.09.2025","310,69","310,50","310,98","310,13","1,39M","0,18%"
"06.09.2025","310,13","310,50","310,89","310,10","654,61K","-0,12%"
"05.09.2025","310,50","309,10","311,16","308,80","11,65M","0,57%"
"04.09.2025","308,74","309,60","310,80","307,50","12,85M","-0,24%"
"03.09.2025","309,49","308,45","309,68","307,21","10,48M","0,34%"
"02.09.2025","308,44","309,20","310,10","307,05","17,41M","-0,25%"
